         601965921 function calls (599366529 primitive calls) in 540.396 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1982116    2.076    0.000    2.076    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
297701/295045    0.597    0.000    2.046    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   110360    0.628    0.000    2.020    0.000 indexing.py:627(_ensure_listlike_indexer)
  2759100    1.488    0.000    1.991    0.000 read_only.py:14(__init__)
 17869952    1.990    0.000    1.990    0.000 timemachine.py:20(<lambda>)
    72422    0.296    0.000    1.893    0.000 base.py:5729(_maybe_cast_data_without_dtype)
  1748757    0.696    0.000    1.852    0.000 abc.py:96(__instancecheck__)
    23453    0.057    0.000    1.794    0.000 nanops.py:193(_maybe_get_mask)
   110380    0.445    0.000    1.748    0.000 range.py:393(_shallow_copy)
   167710    0.475    0.000    1.724    0.000 common.py:218(asarray_tuplesafe)
 10789945    1.717    0.000    1.717    0.000 {built-in method builtins.issubclass}
   621462    0.647    0.000    1.710    0.000 base.py:5659(maybe_extract_name)
   825395    0.524    0.000    1.686    0.000 re.py:198(search)
    23479    0.121    0.000    1.665    0.000 blocks.py:1238(take_nd)
   862464    0.881    0.000    1.596    0.000 series.py:492(name)
   825384    0.921    0.000    1.586    0.000 read_only.py:64(number_format)
   196823    0.671    0.000    1.573    0.000 managers.py:212(shape)
    72425    0.137    0.000    1.560    0.000 base.py:5675(_maybe_cast_with_dtype)
   437342    0.654    0.000    1.541    0.000 common.py:696(is_integer_dtype)
   227697    0.799    0.000    1.506    0.000 generic.py:5097(__finalize__)
   111028    0.281    0.000    1.469    0.000 <__array_function__ internals>:2(atleast_2d)
  2117460    1.116    0.000    1.450    0.000 common.py:149(cast_scalar_indexer)
   173098    0.277    0.000    1.443    0.000 generic.py:5240(_is_mixed_type)
    26341    0.250    0.000    1.428    0.000 algorithms.py:1640(take_nd)
   161331    0.527    0.000    1.406    0.000 base.py:498(_shallow_copy)
      643    0.004    0.000    1.401    0.002 frame.py:3028(__setitem__)
    46874    0.109    0.000    1.400    0.000 expressions.py:217(evaluate)
      643    0.004    0.000    1.395    0.002 frame.py:3109(_set_item)
   317957    0.366    0.000    1.389    0.000 construction.py:580(is_empty_data)
   281352    0.580    0.000    1.370    0.000 _ufunc_config.py:32(seterr)
   588072    1.367    0.000    1.367    0.000 generic.py:195(__init__)
659077/659073    0.908    0.000    1.366    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
       16    0.219    0.014    1.342    0.084 _xlrd.py:49(get_sheet_data)
   698309    1.090    0.000    1.339    0.000 managers.py:1541(__init__)
245135/245118    0.266    0.000    1.335    0.000 {built-in method builtins.all}
      643    0.005    0.000    1.331    0.002 generic.py:3574(_set_item)
  8277300    1.321    0.000    1.321    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
      643    0.016    0.000    1.304    0.002 managers.py:1171(insert)
   169124    0.298    0.000    1.301    0.000 common.py:1330(is_bool_dtype)
   464879    0.223    0.000    1.291    0.000 indexers.py:52(is_list_like_indexer)
  1572834    0.874    0.000    1.263    0.000 inference.py:322(is_hashable)
  2138705    0.883    0.000    1.259    0.000 common.py:329(apply_if_callable)
   699131    1.073    0.000    1.219    0.000 blocks.py:237(mgr_locs)
   310359    0.294    0.000    1.196    0.000 nested.py:28(__set__)
      643    0.009    0.000    1.185    0.002 base.py:5240(insert)
   173191    0.334    0.000    1.173    0.000 generic.py:5199(_protect_consolidate)
   110381    0.347    0.000    1.167    0.000 range.py:134(_simple_new)
   269318    0.581    0.000    1.165    0.000 managers.py:1562(from_blocks)
  1748757    1.155    0.000    1.156    0.000 {built-in method _abc._abc_instancecheck}
   452443    0.850    0.000    1.152    0.000 series.py:398(_set_axis)
    46874    0.180    0.000    1.121    0.000 expressions.py:61(_evaluate_standard)
   168417    1.097    0.000    1.097    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   619111    0.758    0.000    1.092    0.000 sequence.py:23(__set__)
  7625619    1.065    0.000    1.065    0.000 {method 'append' of 'list' objects}
   233791    0.701    0.000    1.045    0.000 base.py:463(_simple_new)
   173094    0.318    0.000    1.028    0.000 blocks.py:642(should_store)
    49548    0.316    0.000    1.012    0.000 cast.py:442(maybe_promote)
   309530    0.515    0.000    1.004    0.000 text.py:173(content)
   170737    0.528    0.000    1.003    0.000 _xlrd.py:101(<listcomp>)
   140676    0.185    0.000    0.995    0.000 _ufunc_config.py:433(__enter__)
  1550605    0.708    0.000    0.993    0.000 base.py:567(__len__)
    68825    0.099    0.000    0.983    0.000 common.py:1180(needs_i8_conversion)
   511882    0.730    0.000    0.983    0.000 generic.py:377(_get_axis)
   698428    0.982    0.000    0.982    0.000 generic.py:5125(__getattr__)
  1895947    0.930    0.000    0.940    0.000 base.py:1755(is_floating)
   111028    0.716    0.000    0.934    0.000 shape_base.py:82(atleast_2d)
   220720    0.347    0.000    0.932    0.000 indexing.py:1681(<genexpr>)
   774615    0.488    0.000    0.915    0.000 common.py:1565(_get_dtype)
   567034    0.234    0.000    0.902    0.000 managers.py:214(<genexpr>)
  2759100    0.896    0.000    0.896    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
